rate,trial,pop_idx,pop_name,fs,n_samples,freq_resolution_hz,f0_hz,f0_power,flow_hz,flow_power,flow_over_f0
05.25,8,7,L6I,1000.0,300000,0.244140625,75.68359375,0.007217081132195639,37.59765625,0.01967772646844881,0.4967741935483871
05.25,9,0,L23E,1000.0,300000,0.244140625,76.904296875,0.00023084409708914465,38.0859375,0.0007597682397634328,0.49523809523809526
05.25,9,1,L23I,1000.0,300000,0.244140625,77.392578125,0.001962476211965557,38.818359375,0.0064616213466757695,0.501577287066246
05.25,9,2,L4E,1000.0,300000,0.244140625,80.078125,0.008755330872154847,35.64453125,0.03058539560375509,0.4451219512195122
05.25,9,3,L4I,1000.0,300000,0.244140625,76.171875,0.00563459088657041,40.771484375,0.016422125708046447,0.5352564102564102
05.25,9,4,L5E,1000.0,300000,0.244140625,77.1484375,0.014340661574090738,39.306640625,0.04466642963375404,0.509493670886076
05.25,9,5,L5I,1000.0,300000,0.244140625,83.251953125,0.0012165601334461693,42.724609375,0.0044268875644604055,0.5131964809384164
05.25,9,6,L6E,1000.0,300000,0.244140625,81.0546875,0.010126663775044849,41.259765625,0.037242375627711356,0.5090361445783133
05.25,9,7,L6I,1000.0,300000,0.244140625,79.1015625,0.004333193808378514,38.57421875,0.01610544917766944,0.4876543209876543
05.51,0,0,L23E,1000.0,300000,0.244140625,81.0546875,0.0007048146234797671,41.9921875,0.0025190997289891155,0.5180722891566265
05.51,0,1,L23I,1000.0,300000,0.244140625,77.392578125,0.002517503182214777,39.0625,0.007860654536724423,0.5047318611987381
05.51,0,2,L4E,1000.0,300000,0.244140625,76.904296875,0.015240295176086605,41.015625,0.044222124500377054,0.5333333333333333
05.51,0,3,L4I,1000.0,300000,0.244140625,77.392578125,0.0062371541577509555,39.0625,0.021449616313460672,0.5047318611987381
05.51,0,4,L5E,1000.0,300000,0.244140625,79.1015625,0.012373059026485502,42.724609375,0.042408162824478644,0.5401234567901234
05.51,0,5,L5I,1000.0,300000,0.244140625,79.833984375,0.0015698823142232382,38.330078125,0.005902206986806629,0.4801223241590214
05.51,0,6,L6E,1000.0,300000,0.244140625,76.904296875,0.011979180038016088,41.9921875,0.03511569178287835,0.546031746031746
05.51,0,7,L6I,1000.0,300000,0.244140625,77.1484375,0.00579447338311429,41.748046875,0.016653811962858,0.5411392405063291
05.51,1,0,L23E,1000.0,300000,0.244140625,80.810546875,0.0026263324789009552,41.9921875,0.009493004010788664,0.5196374622356495
05.51,1,1,L23I,1000.0,300000,0.244140625,76.904296875,0.0048277828190442735,41.50390625,0.013310372027391128,0.5396825396825397
05.51,1,2,L4E,1000.0,300000,0.244140625,76.416015625,0.025535054376305245,41.9921875,0.07550289747416422,0.549520766773163
05.51,1,3,L4I,1000.0,300000,0.244140625,83.251953125,0.0071206479997584175,37.59765625,0.03143274084458404,0.45161290322580644
05.51,1,4,L5E,1000.0,300000,0.244140625,78.369140625,0.013700873701295309,41.748046875,0.04005545171864831,0.5327102803738317
05.51,1,5,L5I,1000.0,300000,0.244140625,77.1484375,0.00255560264861179,40.0390625,0.00851464384657643,0.5189873417721519
05.51,1,6,L6E,1000.0,300000,0.244140625,75.68359375,0.008356531366355882,40.283203125,0.028132825425084457,0.532258064516129
05.51,1,7,L6I,1000.0,300000,0.244140625,79.345703125,0.00655727266184124,40.283203125,0.020969095398543074,0.5076923076923077
